Encoding,Preproc,Modelo,Accuracy,Acc_std,F1,Precision,Recall,AUC,AUC_std,Tiempo_s,N_features
kmer3,raw,NB,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008708643913269044,125
kmer3,raw,RF,1.0,0.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.46211020946502684,125
kmer3,raw,XGB,0.9977272727272727,0.006818181818181812,0.9977260981912144,0.9978260869565216,0.9977272727272727,1.0,0.0,0.11455650329589843,125
kmer3,raw,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.803723859786987,125
kmer3,scaled,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.009432339668273927,125
kmer3,scaled,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.028421092033386233,125
kmer3,scaled,LR,0.9966164453524003,0.005168570236738736,0.9966162985922769,0.9966916354556803,0.9966164453524003,1.0,0.0,0.008641862869262695,125
kmer3,scaled,LDA,0.9977400408580184,0.004520008453478689,0.9977398940978949,0.9977902621722846,0.9977400408580184,1.0,0.0,0.012449264526367188,125
kmer3,scaled,NB,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.007914543151855469,125
kmer3,scaled,RF,1.0,0.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.4549983024597168,125
kmer3,scaled,XGB,0.9977272727272727,0.006818181818181812,0.9977260981912144,0.9978260869565216,0.9977272727272727,1.0,0.0,0.09700045585632323,125
kmer3,scaled,DNN,0.9988636363636363,0.003409090909090906,0.9988634896035128,0.9988888888888889,0.9988636363636363,1.0,0.0,2.9524414777755736,125
kmer3,pca,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011858105659484863,125
kmer3,pca,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.02085874080657959,125
kmer3,pca,LR,0.9954928498467824,0.005520219782236426,0.9954927030866589,0.9955930087390762,0.9954928498467824,1.0,0.0,0.013257431983947753,125
kmer3,pca,LDA,0.9977400408580184,0.004520008453478689,0.9977398940978949,0.9977902621722846,0.9977400408580184,1.0,0.0,0.013720870018005371,125
kmer3,pca,NB,0.9966164453524003,0.005168570236738736,0.9966160147485216,0.9966910926559193,0.9966164453524003,0.9988888888888889,0.003333333333333355,0.011125707626342773,125
kmer3,pca,RF,0.9988636363636363,0.003409090909090906,0.9988634896035128,0.9988888888888889,0.9988636363636363,1.0,4.965068306494546e-17,0.5017619609832764,125
kmer3,pca,XGB,0.9932073544433093,0.009078275644087816,0.9932047215274376,0.9934543776800737,0.9932073544433093,0.9996900826446282,0.0007730697080111542,0.06347918510437012,125
kmer3,pca,DNN,0.9977400408580184,0.004520008453478689,0.9977398940978949,0.9977902621722846,0.9977400408580184,1.0,0.0,2.955260396003723,125
kmer4,raw,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.01766061782836914,625
kmer4,raw,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.056213974952697754,625
kmer4,raw,LR,0.9391726251276813,0.03305950883796621,0.9387320097189535,0.9472998362661785,0.9391726251276813,0.9955463728191001,0.005821874827970668,0.011590933799743653,625
kmer4,raw,LDA,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.09913387298583984,625
kmer4,raw,NB,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.01024174690246582,625
kmer4,raw,RF,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5732376098632812,625
kmer4,raw,XGB,0.9954928498467824,0.007464727968860812,0.9954921356141814,0.9956407751180588,0.9954928498467824,0.9999494949494949,0.00015151515151513582,0.4209000110626221,625
kmer4,raw,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.373408508300781,625
kmer4,scaled,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.023393130302429198,625
kmer4,scaled,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2340337038040161,625
kmer4,scaled,LR,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.015345048904418946,625
kmer4,scaled,LDA,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.10167732238769531,625
kmer4,scaled,NB,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.015245270729064942,625
kmer4,scaled,RF,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5174838781356811,625
kmer4,scaled,XGB,0.9954928498467824,0.007464727968860812,0.9954921356141814,0.9956407751180588,0.9954928498467824,0.9999494949494949,0.00015151515151513582,0.4079484701156616,625
kmer4,scaled,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.441544151306152,625
kmer4,pca,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.08203325271606446,625
kmer4,pca,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16573269367218016,625
kmer4,pca,LR,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.08249108791351319,625
kmer4,pca,LDA,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.08963398933410643,625
kmer4,pca,NB,0.9988764044943821,0.003370786516853941,0.9988761206506267,0.9989008304836346,0.9988764044943821,1.0,0.0,0.0809382677078247,625
kmer4,pca,RF,1.0,0.0,1.0,1.0,1.0,1.0,3.510833468576701e-17,0.8349642515182495,625
kmer4,pca,XGB,0.9988636363636363,0.003409090909090906,0.9988634896035128,0.9988888888888889,0.9988636363636363,1.0,0.0,0.21514739990234374,625
kmer4,pca,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.2938873291015627,625
kmer6,raw,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3016613721847534,15625
kmer6,raw,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.295638632774353,15625
kmer6,raw,LR,0.9088100102145045,0.048276158830065134,0.9073158717834005,0.9255999257487548,0.9088100102145045,1.0,0.0,0.18566446304321288,15625
kmer6,raw,LDA,0.9177477017364657,0.022711615614254423,0.9177074559552405,0.918631787351002,0.9177477017364657,0.9563096877869606,0.022103696217501145,4.1266745805740355,15625
kmer6,raw,NB,0.6767875383043923,0.04056084471367188,0.6367538866230571,0.8044326113739443,0.6767875383043923,0.6767424242424243,0.040699276455104,0.18647797107696534,15625
kmer6,raw,RF,0.996629213483146,0.005148961455006575,0.9966289296393906,0.996703577050426,0.996629213483146,1.0,0.0,3.2067354440689084,15625
kmer6,raw,XGB,0.9324182839632277,0.018175832135130392,0.9320505467243502,0.9409292191689547,0.9324182839632277,0.9953305785123968,0.00683943748454339,7.515272331237793,15625
kmer6,raw,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.631572270393371,15625
kmer6,scaled,KNN,0.5,0.005024871859550101,0.33334829611341793,0.2500252493372049,0.5,0.5,0.0,0.6217901945114135,15625
kmer6,scaled,SVM,0.9662538304392235,0.026567657567485123,0.9661170024534321,0.9694882199649945,0.9662538304392235,0.9995959595959596,0.0010545764150414606,58.376815390586856,15625
kmer6,scaled,LR,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4309561252593994,15625
kmer6,scaled,LDA,0.9177477017364657,0.022711615614254423,0.9177074559552405,0.918631787351002,0.9177477017364657,0.9563096877869606,0.022103696217501145,3.9017957925796507,15625
kmer6,scaled,NB,0.6767875383043923,0.04056084471367188,0.6367538866230571,0.8044326113739443,0.6767875383043923,0.6767424242424243,0.040699276455104,0.49328887462615967,15625
kmer6,scaled,RF,0.996629213483146,0.005148961455006575,0.9966289296393906,0.996703577050426,0.996629213483146,1.0,0.0,4.008649563789367,15625
kmer6,scaled,XGB,0.9324182839632277,0.018175832135130392,0.9320505467243502,0.9409292191689547,0.9324182839632277,0.9953305785123968,0.00683943748454339,7.562953948974609,15625
kmer6,scaled,DNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,8.5072252035141,15625
kmer6,pca,KNN,0.5,0.005024871859550101,0.33334829611341793,0.2500252493372049,0.5,0.5,0.0,4.221828579902649,15625
kmer6,pca,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.054165649414062,15625
kmer6,pca,LR,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.547374939918518,15625
kmer6,pca,LDA,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.565320754051208,15625
kmer6,pca,NB,0.5360188968335036,0.009081803651202472,0.4083714883302975,0.759367066614361,0.5360188968335036,0.5471717171717172,0.021988497702692282,3.9854333639144897,15625
kmer6,pca,RF,0.9954928498467824,0.005520219782236426,0.9954924192429034,0.9955924659393149,0.9954928498467824,1.0,0.0,5.246679711341858,15625
kmer6,pca,XGB,0.9988764044943821,0.003370786516853941,0.9988761206506267,0.9989008304836346,0.9988764044943821,1.0,0.0,4.3910542011260985,15625
kmer6,pca,DNN,0.997752808988764,0.004494382022471921,0.9977522413012533,0.9978016609672691,0.997752808988764,1.0,0.0,5.61348385810852,15625
